clean_sentence,dyslexic_sentence,error_type
පන්සලට ගිහින් එන්න.,පන්සලේට ගිහින් එන්ඩ.,phonetic_confusion
අද සන්දියාවේ ගෙදර යමු.,අද සන්දියාවෙ ගෙදර යමු,Spelling
ගාන තේරෙනවා,ගාන තෙරෙනව,grammar
මට කන්න රොටි ඕනේ වුණා.,මට කන්න රොටි ඕනෙ වුනා.,Spelling
දුකින් ඉදලා වැඩක් නෑ.,දුකෙන් ඉදලා වැඩක් නෑ,Spelling
කඩේට යන්න ඕන.,කඩේට යන්න ඕන.,no_error
දුරකථනය නෑනේ.,දුරකතනය නෑනෙ,unknown
සිනාසෙමින් ඉන්න එක කොච්චරක් වටිනවද?,සිනාසෙමින් ඉන්න එක කොච්චරක් වටිනවද,Grammar
බඩගිනියි වගේ,බඩගිනි වගෙ,grammar
ඩොක්ටර් බෙහෙට ගිහින් බෙහෙත් ගෙනාවා,ඩොක්ටර් බෙහෙට ගිහින් බෙහෙත් ගෙනාවා,no_error
මට වතුර ටිකක් ඕන.,මට වතුර ටිකක් ඕන.,no_error
ආප්ප,අාප්ප,phonetic
එයා ගෙදර ගියා නේද.,එයා ගෙදර ගියාවෙ,Spelling
අහසේ වලාකුළු තියෙනවා.,අහසේ වලාකුළු තියෙනවා.,no_error
මාමා කඩේ ගිහින් එනවා.,මාමා කඩෙය් ගිහින් එනවා.,Visual Scrambling
මම දොඩ පානයක් බිව්වා.,මම දොඩ පානයක් බිව්වා.,no_error
ගෙදර යන්න කලින් බලන්න.,ගෙදර යන්න පෙලින් පලයං.,Phonetic Confusion
ගමට වහිනවා දැන්,ගමට වහිනව දැන්,Grammar
අඬනවා,ඇඩැනව,visual
පොත බඩුවලට වඩා වටිනවා,පොත බඩුවලට වඩා වටිනව,Grammar
පන්සිල් රකින්න,පන්සිල් රකින්ඩ,Phonetic Confusion
පොත බලනවා.,පොත බලනව.,grammar
පන්සලට යන්න ඕනෙ.,පන්සලට යන්න ඕනි,unknown
රට නියමයි.,රට නියමයි,unknown
මට බය හිතුණා,මට බයහිතුන,grammar
ගමන හරිම අමාරුයි නේද.,ගමන හරිම අමාරුයි නේද.,no_error
සඟවෙනකොට ඕන නෑ,සගවෙනකොට ඔන නැ,phonetic
මම අයියට කියන්නම්.,මං බය්යට කියන්නම්.,Phonetic Confusion
පන්ති යන්න ඕනෙ.,පන්ති යන්න ඕනෙ.,no_error
ඔයාගේ නම රිනූද?,ඔයාගේ නම රිනය,phonetic
රට යනවනම් කියන්න.,රට යනවනම් කියන්න.,unknown
මෙහෙට එන්න.,මෙහෙට ඈඩෙනන.,visual_scrambling
පූසා ගෙදර ඉන්නවා.,පූස ෙගදර ඉන්නව.,Grammar Examples
සන්ධ්‍යා වෙලා නිසා එළිය අඩුයි.,සන්ද්‍යා වෙලා නිසා එලිය අඩූයි,Phonetic (N/NDH)
පිටිපස්සෙ කවුද ඉන්නවා,පිටිපස්සෙ කවුද ඉන්නව,Grammatical - Spoken vs Written
වලසෙක් වගේ.,වලසෙක් වගේ.,no_error
ගෙදර යන්න ඕනේ,ගෙදර යන්ඩ ඕනේ,Visual Reversal
අම්මා මට බත් උයලා දුන්නා.,අම්මා මට බත් උයලා දුන්න,Spelling
මුට සතුටුයි,මුට සතූඨුයි,Phonetic Confusion
පඩුවේ ගියා,පඩුවෙ ගියා,Grammar
අද හරිම උෂ්ණයි.,අද හරිම උශ්නයි.,ශ/ෂ confusion
අද මම වැඩික ට යනව.,අද මම වෙඩිකට යනව.,Visual Reversal
පොතේ පිටු ඉරී ගිහින්,පොතෙ පිටු ඉරී ගිහින්,grammar
කෝපි එක හදනවා.,කෝපි එක හදනව,Spelling
මට නිදාගන්න ඕනෑ.,මට නිදාගන්න ඔනැ,Spelling
එයා ලස්සන කතාවකියනවා,එයා ලස්සන කඩායිකියනවා,Visual Scrambling
ගමට ගියා.,ගාට ගියා,Phonetic (M/T)
හෙට ඉස්කෝලෙ යනවා,හෙට ඉස්කොලෙ යනවා,grammar
වලන්ගු,වලන්ගු,unknown
උස්සන සද්දෙට බයයි.,උස සද්දෙට බයයි.,Phonetic
කෑම දුන්නා.,කැම දුන්න,Grammar
කවුද ඈ ආවෙ.,කවුද එඩ ආවෙ,Phonetic (E/Ae)
සටහන කියෙවුවා,සටහන කියෙවුවා,no_error
මං කඩේට යනවා පොල් ගන්න.,මං කඩෙට යනවා පොල් ගන්න.,phonetic_confusion
පිටරටවල ජීවත් වෙන එක ලෙසි නෑ.,පිටරටවල් වල ජීවත් වෙන එක ලෙසි නෑ.,Grammar
එයා හරිම ලස්සන හඬක්.,එය හරිම ලස්සන හඩක්,Spelling
කිරි බොන්න මම ආසයි.,කිරි බොන්න මම ආසයි.,no_error
ඔයාල කොහෙද යනවද,ඔයල කොහෙඩ යනවඩ,unknown
වළං ටික හෝදන්න,වලන් ටික හෝදන්න,Phonetic Confusion
කවුද අද එන්නේ.,කවුද අද එන්නෙ,Spelling
පොලිසියේ මහත්තයා ආවා.,පොලිසියෙ මහත්තය ආවා,Spelling
මට කතා කරන්න.,මට කතා කන්න,Spelling
අද ඉස්කෝලෙ ගියා,අද ස්කෝලෙ ගියා,Phonetic Confusion
ඇයි ඔයා බය වෙලා?,ඇයි ඔයා බෙග වෙලා,Visual Reversal (B/D)
මට සල්ලි ටිකක් ඕනෙ.,මට සල්ලි ටිකක් ඕනෙ.,no_error
ගඟ කන්ද පහළට ගලනවා.,ගඟ ගලනව කන්ද පහලට.,grammar
බඩු ගන්න ඕන,බඩු ගන්න ඕන,no_error
දිනපතා ප්‍රාර්ථනාවන් කරන්න,දිනපතා පරතනාවන් කරන්න,unknown
පන්සලට ගියා මං.,පන්සලේට ගියා මං.,grammar
කෝපි බොන්න ආසයි.,කෝපි බොන්න ආසයි,unknown
ගාන බැලූ,ගාන බෑලු,Phonetic Confusion
කඩේ එළවලු මිලයි.,කඩේ එළවලු මිලයි.,no_error
අද ස්කෝලේ ඇරිලා යනවා.,අද ස්කෝලේ ඇරිලා යනවා.,no_error
අපි හැම බෑමක්ම එකතු කරගන්න ඕන.,අපි හැම ඩෑමක්ම එකතු කරගන්න ඕන.,visual_reversal
හෙට ඉස්කෝලේ යන්න,හෙට ඉස්කොලෙ යන්න,grammar
පුටුව උඩ වාඩිවෙන්න.,පුටව උඩ වාඩිවෙන්න.,grammar
ගෙදර දොර ලග තියෙනවා,ගෙඩ දොර ලග තියනව,visual scrambling
ළමයා එනවා,ලමය එනව,phonetic
පොත් කියවලා දැනුම ගන්න.,පොත් කියවල දැනුම ගන්න.,grammar
අනගත,අන ගත,visual scrambling
අලිගෙ දළ ලොකුයි,අලිගෙ දල ලොකුයි,phonetic_confusion
උදේට තේ බොනවා.,උදේට තේ බොනවා,unknown
සින්දු ටිකක් කියන්න.,සින්දු ටිකක් කියන්න.,no_error
දැන් මම ගෙදර යන්නම්.,දන මම ගෙදර යන්නම්,Phonetic (D/Dh)
රට බේරාගන්න ඕනේ.,රට බේරගන්න ඔනේ,Spelling
කඩල වෙළඳාම් කරනවා,කඩල වෙලදම් කරනව,unknown
ඔයත් එනවාද මාත් එක්ක?,ඔයත් එනවාද මාත් එක්ක?,no_error
කඩේ වෙළඳාම කරනවා,කඩල වෙලදම කරනව,Grammar
කඩේට ගියාම සමන් බෑගයක් ගෙනාවා,කඩේට ගියම සමන් බෑගයක් ගෙනාව,Grammar
මම හිතනවා ඒක ඇත්ත කියලා.,මං හිතන්වා ඒක ඇත්ත කියලා,Spelling
ඔයා කොහෙද යනවද දැන් ?,උබ කොහෙඩ යනව්ද දැන් ?,grammar
කිඩංගු ගෙඩි කන්න ආසයි.,කිඩිනගෙඩි කන්න ආසයි.,unknown
අද කාලගුණය හරිම උණුසුම්.,අද කාලගුණය හරිම උණුසුම්.,no_error
උදේ පාන්දර ඇහැරුණා.,උදේ පාන්දර ඇහැරැන,Spelling
තාත්තා කඩේට ගිහින් එනවා.,තාත්තා කඩේට ගිහින් එනව,Spelling
අඳුරයි දැන්,අදුරයි දැන්,unknown
එයාලා යනවා කිව්වා,එයාලා යනවා කිව්වා,None
පොඩි එකා ඇඳේ නිදාගන්නවා.,පොඩි එකා නිදාගන්නවා ඇඳේ.,none
උදේට බත් කනවා.,උදේට බත් කනව,Grammar
මට බඩගිනි නැහැ.,මට බඩගිනි නැහැ.,no_error
දමනවා,දිමනවා,visual reversal
බත් කන්න ඕනෑ,බත් කන්න ඕන,Grammar
සීතා ලස්සන ළමයෙක්.,සීතා ලස්සන බිලියෙක්.,visual
එයාගේ නම කමල්.,එයාගේ නම කමල්,unknown
මං හෙට ඉස්කෝලෙ යනවා,මං හෙට ඉස්කොල යනව,unknown
උදේනේ,උදෙන,grammar
සෙල්ලම් කරනවා බලන්න ආසයි.,සෙල්ලම් කරනවා බලන්න ආසයි.,no_error
ඌ ලස්සන සින්දු කිව්වා.,ඌ ලස්සන සින්දු කිව්වා.,no_error
අම්මා මට කතා කළා.,අම්මා මට කතා කළා.,no_error
අප්පච්චි මාත් එක්ක රණ්ඩු කළා.,අප්පච්චි මාත් එක්ක රන්ඩු කලා.,Phonetic
මම එහෙට ගියා.,මන් එහෙට ගියා,Spelling
සල්ලි ටික දෙන්න,සල්ලි ටික ඩෙන්න,visual reversal
මම කඩේ යනවා,මම කඩෙ යනව,grammar
මේ සතා හරිම ලස්සනයි.,මේ සතා හරිම ලස්සනයි.,no_error
ගණන් වලට ආසයි.,ගනන් වලට ආසයි.,Phonetic Confusion
මම පාසැලට යන්න බැහැ,මම පාසැලට යන්න ඩැහැ,Phonetic Confusion
මල් සූටි,මල් සූටි,no_error
මම පාසලට යනවා.,මම පාසලට යනවා.,no_error
සරසවි සිසුන්ට හොඳ අනාගතයක් තියෙනවා.,සරසවි සිසුන්ට හොද අනාගටයක් තියනව.,phonetic
පළවෙනි පාරට මම ලන්ඩනයට ගියා,පලවෙනි පාරට මම ලන්ඩන ගියා,phonetic
පපුව රිදෙනවා වගෙ දැනෙනවා.,පපුව රිදෙනව වගෙ දැනෙනව.,grammar
කෙල්ල ලස්සනයි නේද?,කෙල්ල ලස්සනයි න්නෙ.,Phonetic Confusion
බඩුවක් ගේන්න.,බඩුවක් ගේන්න,unknown
ළමයින් සෙල්ලම් කරනවා.,ලමයින් සෙල්ලම් කරනව,Phonetic (L/L)
සරුංගලේ අහසේ පාවෙනවා.,සරුන්ගලේ අහසෙ පාවෙනව,Spelling
පාලම උඩ ඉන්නවා.,පාලම උඩ ඉන්නවා.,no_error
ගාල්ල පළාතේ,ගාල්ල පළාතේ,no_error
ඒක මං දන්නෙ නෑ.,අනික මං දන්නෙ නෑ,Contextual
මට බඩගිනියි වගේ,මට බඩගිනියි වගේ,unknown
කතාවෙ අන්තිම හරිම දුකය.,කතාවෙ අන්තිම හරිම දුකය,unknown
මට පොත් පටියක් ඕනෙ.,මට පොත් පටියක් ඕනෙ,unknown
සතය,සතයග,visual scrambling
අපේ ගමේ පන්සලක් තියෙනවා.,අපේ ගමෙ පන්සලක් තියෙනවා,Spelling
පොඩි බල්ලො ගෙදර ආව.,ඩොඩි බල්ලො ගෙදර ආව.,visual_reversal
මම පළවෙනි පාරට කඩේට ගියා,මං පලවෙනි පාරට කඩෙට ගිය,unknown
දන්නවනම් කියන්න,දනනවනම් කියන්න,phonetic_confusion
මම ඉස්කෝලෙට යන්න ඕන,මම ඉස්කොලෙට යන්න ඔන,phonetic
කඩේට ගිහින් පාන් ගෙනෙන්න.,කඩේට ගිහින් පාන් ගෙනෙන්න.,no_error
අප්පච්චි බත් කන්න ඕන,අප්පච්චි බත් කන්න වේවා,grammar
පාසල වහල තියෙනවා,පාසල වහල තියනව,Grammar
පොල් ගහ ළඟ.,පට්ට ගහ ළඟ.,පො/පට
පන්තියේ යන්න ඕනේ දැන්.,පන්තිෙ යන්න ඔනේ දැන්.,phonetic confusion
මම ඩොක්ටර් ලඟට ගියා.,මම ඩොක්ටර් ලඟට ගියා.,no_error
පොඩ්ඩක් ඉන්න දෙන්න,පොඩ්ඩක් ඉන්නදෙන්න,unknown
ඊයේ රෑ වහිනවා.,ඊයෙ රෑ වහිනව,Spelling
මම පන්සලේට ගියා,පන්සලේ ගියා මං,unknown
කොළඹ යන්න හදන්නේ.,කලින්ම්බු යන්න හදන්නේ.,visual_scrambling
අද සන්ධ්‍යාව ලස්සනයි.,අද සන්ද්‍යාවෙ ලස්සනයි,Phonetic (N/Nd)
සතුටුයි ඔයාව දැකලා,සතූටූයි ඔයාව දැකල,unknown
කතරගම යන්න,කතරගම යන්ට,න/ණ
පැන්සලෙන් ලිව්ව,පන්සිෙලන් ලිවිය,Phonetic
මම ළමයින්ට උගන්වනවා,මම ළමයින්ට උගන්නනව,grammar
අද හරිම සතුටුයි,අද හරිම සන්ටුයි,Phonetic Confusion
මට ඩයලොග් තේරෙන්නේ නෑ.,මට ඩයල තේරෙන්නේ නෑ,Visual Scrambling
මං එහෙමද යන්නම්.,මං එහෙමෙඩ යන්නම්,Phonetic Confusion
මම ගියා සින්දු බැලුවා,මම ගියා සින්දු බැලුවා,no_error
අද ගොඩක් වැඩ කරන්න තියෙනවා,අද ගොඩක් වැඩ කර්න්න තියනව,grammar
ගාන දෙන්න.,ගාන ඩෙන්න.,visual_reversal
මැණිකේ,මැනිකේ,Phonetic Confusion
දුකේදී හිනාවෙන්න ඕන.,දුකේදි හිනාවෙන්න ඕන,unknown
පූසගේ බෙල්ලේ පටියක් තියෙනවා.,පූසගෙ බෙල්ලෙ පටිටක් තියෙනව,Spelling
එයා බැලුම් ගහනවා.,උයා බැලුම් ගහනව.,phonetic_confusion
මම ඉස්කෝලේ යනවා.,මම ඉස්කොලේ යනවා,Spelling
අපි කඩේට ගිහින් ආවා,අපි කඩේට ගිහින් ආවා,no_error
බය නැතුව ඉන්න,බය නැතුව ඉන්න,no_error
පන්තග,පගනත,letter order
කඩේට යනවද අද ?,කඩෙට යනවද අද ?,grammar
මට සරමට ගන්නවා,මට සරමට ගනයනවා,Phonetic Confusion
පුළුවන් නම් ඔයාට,පුලුවන් නන්ද ඔයාට,Phonetic Confusion
මට ඉක්මනට ගමන් කිරීමට අවශ්‍යයි.,මට ඉක්මනට ගමන් කිරිමට අවෂ්‍යයි.,Spelling
අනික ඔයා එන්නේ කවද්ද.,අනික ඔයා එන්නේ කවද්ද.,no_error
උදේ වෙන උණක්,උදේ වෙන උණක්,no_error
රට බාර ගන්න දේශපාලකයෝ ඕන,රට බාර ගන්න දේශපාලකයො ඕන,grammar
ගෙදර ලස්සනයි,ගෙදර ලස්සනයි,no_error
කඩේ ලොකු බඩු ගොඩක් තිබ්බා.,කඩයෙ ලොකු බඩු ගොඩක් තිබ්බ.,Spoken vs Written
සින්දු කිව්වා,සින්දු කිව,spoken vs written
පොල්ලට ගහනවා.,බටට ගහනව,visual reversal
තමයි දුවනවා,තමෙි ඩුවනවා,Visual Reversal
පොත මේසෙ උඩ තියෙනවා.,පොත මේසෙ උඩ තියනවා,Spelling
කවුදොර ඇරියේ.,කවුදොර ඇරියෙ,Spoken vs Written
පූසගේ බෙල්ලේ පටියක් තියෙනවා.,පූසගෙ බෙල්ලෙ පටියක් තියනව,Spelling
මම හවසට එන්නම් කිව්වලු.,මම හවසට එන්නම් කිව්වලු.,unknown
එයාලා එනවා බලන්න,එයාල එනව බලන්ඩ,Grammar
අකුෂර ඕන,අක්ශර ඔන,unknown
මං ඩොක්ටර් කෙනෙක් දකිනවා,මං ඩොක්ටර් කෙනෙක් ඩකිනව,unknown
අනික මට යන්න ඕන,අනික මට යන්න ඕන,no_error
පොතේ තියෙන සින්දු ලස්සනයි.,පොතෙ තියෙන සින්දු ලස්සනයි.,grammar
පොතේ පටුකු කරලා අවසන්,පොතෙ පටුකු කරල අවසන්,unknown
සරදම්,සරදන,phonetic_confusion
මට එක බාල්දියක් දෙන්න.,මට එක බාල්දියක් දෙන්න,unknown
සින්දු කිව්වා.,සින්දු කිව්වා.,no_error
සින්දුවක් කිව්වා,සින්දුවක් කිව්ව,Spoken vs Written
අනිත් ළමයින්ට වඩා මම වෙනස්.,අනිකුත් ලමයින්ට වඩා මම වෙනස්.,phonetic
අද හඳ ලස්සනයි.,අද හඳ ලස්සනයි.,unknown
පොලිසියට යන්න තියෙනවා,පොලිසියට යන්න ටියෙනව,Grammar
අද හවස චිත්‍රපටිය බලමු,අද හවසෙ චිත්ර පටිය බලමු,grammar
මං ගාව පොතක් තියෙනවා,මං ගාව පොටක් තියෙනවා,phonetic_confusion
අද මට බඩගිනියි,අද මට බඩගිනී,Spelling
ගහ බිමට වැටෙනවා,ගහ ඩගෙට වටිනව,බ/ඩ
කඩේ යනවාද අද?,කඩේ යනවාද අද?,no_error
වතුර එක ගෙන දෙන්න.,වතුර එක ගෙනදෙන්න,Spelling
මම ගියා නම් පල්ලෙහාට,මං ගියා ණන් පල්ලෙහාට,grammar
පාසැලට යනවා,ඉස්කොලෙට යනවා,grammar
පාට බලන්න.,පත බ්ලාසව.,multiple
අහසේ තරු පෙනෙනවා.,අහසේ තරු පෙන්නවා,Spelling
ගෙදර යන්න,ගෙදර යන්න්,wrong word form
අක්කා මල් අඳිනවා,අක්කා මාඩළු අදිනවා,Phonetic Confusion
ගෙදර ඉන්නවා,ගෙදර ඉන්නව්,unknown
කියවලා බලන්න,කියවල බලන්න,Grammar
එයා බල්ලට බයයි වගේ.,එයා බල්ලට බයයි වගෙ.,Spelling
පින,පින,unknown
එයා ඩොක්ටර් කෙනෙක් වෙන්න ඉන්නවා.,එයා ඩොක්ට කෙනෙක් වෙන්න ඉන්නව.,Grammar
මං පන්සල් යනවා.,මං පන්සල් යනවා යනව,grammar
සතස,සතස,no_error
මසේ ගහ කොතැනද?.,මසෙ ගහ කොතනඩහ.,phonetic
හාවා දිව්ව යනවා.,හාවා දිවිව යනව.,phonetic_confusion
සංගීතය,සන්ගීතය,phonetic
මම ගියා සිනා.,මන් ගියා සින්න,Spelling
කලෙ ගෙදර හිටියා.,කලේ ගෙදර හිටිය,Spelling
මට බඩගිනියි වගේ යනවා.,මට බඩගිනියි වගේ ඩැනවා.,Visual Reversal
අක්කා මට බැනුම් කිව්වා.,අක්ක මට බැනුම් කිව්ව,Spelling
අද රෑට,අද රත,omission
මට බඩගිනියි,මට බඩගින,unknown
ඉස්කෝලේ යන්න ඕනේ,ඉස්කොලේ යන්න ඔනෙ,phonetic
ඔබට පුලුවන්ද,ඔබට පුලුවන්ද,no_error
දැන අතට ගන්න.,දන අතට ගනින්.,unknown
අපි සිනමා බලන්න ඕන,අපි සිනමා බලන්න ඔන,Grammar
ඉස්සරහට බලන්න,ඉස්සරහට බලන්ට,Grammar
අප්පච්චී එනවා කිව්වා.,අප්පච්චී එනවා කිව්වා.,no_error
මට පොඩි ඔලුව කැක්කුමක් තියෙනවා.,මට පොඩි ඔලුව කැක්කුමක් තියෙනවා.,no_error
පළමු බස් එක,පළමු බස් එක,no_error
පන්සලට යනවනම් කියන්න.,පන්සලට යනවනම් කියන්න.,unknown
අනික හම්බුනා,අනික හම්බුනා,no_error
අපිට බඩගිනී නැද්ද.,අපිට බඩගිනී නෙඩදෙ.,phonetic
පොත් තියෙන්නේ මේසය උඩ,පොත් තියෙන්නෙ මේසෙ උඩ,spoken_vs_written
දොස්තර ළඟට යන්න,දොස්තර ලගට යනඩ,ල/ළ confusion
අනාගතය ගැන හිතන්න,අනාගාතය ගැන හිතන්න,unknown
ඔයාට සතුටුයිද?,ඔයාට සතුටුය්ද,Spelling
අම්මා බත් උයලාද?,අම්මා බත් උයලාඩ.,Phonetic Confusion
මල්ලි බයික් එක පැදෙව්වා.,මල්ලි බයික් එක පැදුව,Spelling
ගහේ ලියලා තිබ්බා,ගහේ ලියල තිබ්බ,grammar
පාරෙ ට්‍රැෆික් ජෑම් එකක්.,පාරෙ ට්‍රැපික් ජැම් එකක්,Spelling
මං දන්නේ නෑ,මං දන්නෙ නෑ,Grammar
පොත මේසය උඩ තියෙනවා.,පොත මේසෙ උඩ තියෙනවා.,grammar
