original_sentence,dyslexic_sentence,error_type,correct_audio_path,dyslexic_audio_path
එමෙන්ම එරට දේශපාලන ප්‍රචාරණ වේදිකාව,එමෙන්ම එටර දේශපාලන ප්‍රචාරණ වේදිකාව,reversal,asr_sinhala/data/a0/a067c2dc82.flac,dyslexic_audio_files/train_37.flac
තමාගේම වගකීම මත රැඳෙන,තමාගේම වගතීම මත රැඳෙන,substitution,asr_sinhala/data/0a/0a327f7800.flac,dyslexic_audio_files/train_38.flac
රහසින්වත් පව් නොකළ හෙයින් ද අරහං නම් වන සේක.,රහසින්වත් පව් නොකළ හෙින් ද අරහං නම් වන සේක.,omission,asr_sinhala/data/1a/1aa732f9f2.flac,dyslexic_audio_files/train_39.flac
මේක හොයන් යනකොට,මේක හොයන් යනකොඩ,substitution,asr_sinhala/data/31/31cbac9ca1.flac,dyslexic_audio_files/train_40.flac
දෙවියන් ඇසතු වෘක්ෂය ඇසුරු කරගෙන,දෙවියන් ඇසතු ෘවක්ෂය ඇසුරු කරගෙන,reversal,asr_sinhala/data/d9/d961d85c3d.flac,dyslexic_audio_files/train_41.flac
විමුක්තිය උදාකරගත හැකි ය.,විමුක්තිය උදාකරගතහ ැකි ය.,reversal,asr_sinhala/data/87/874e615f53.flac,dyslexic_audio_files/train_42.flac
එලෙස මිත්‍රත්වය ගොඩනගා ගැනීමට මෙන්ම,එලෙශ මිත්‍රත්වය ගොඩනදා ගැනීමඩ මෙන්ම,substitution,asr_sinhala/data/d3/d3dafbfe9c.flac,dyslexic_audio_files/train_43.flac
එය අවසානයේ දේවදූතයා විසින්,එය අවශානයේ දේවදූතයා විශින්,substitution,asr_sinhala/data/85/855243aed5.flac,dyslexic_audio_files/train_44.flac
සිට පැවත එන ශාස්ත්‍රයන් සමූහයකි.,සිට පැවත එන ශාස්ත්‍රයන් සමූහයති.,substitution,asr_sinhala/data/99/99255c9fd8.flac,dyslexic_audio_files/train_45.flac
වැඩිහිටියන් බවට පත්කර ගැනීම,වැඩිහිඩියන් බවට බත්කර ගැනීම,substitution,asr_sinhala/data/71/71049f9f0a.flac,dyslexic_audio_files/train_46.flac
මේක නොදන්න දෙමළ බාල පරම්පරාව,මේක නොදන්නදෙමළ බාල පරම්පරාව,omission,asr_sinhala/data/7f/7f14c9cfdc.flac,dyslexic_audio_files/train_47.flac
එතැනදී නදීක කරුණානායක අයියා,එතැනී නදීක කරුණානායක අයියා,omission,asr_sinhala/data/d1/d1d50b0298.flac,dyslexic_audio_files/train_48.flac
ක්‍රිෂ්ටි ෂෙල්ටන් මහත්මයාගේ නිර්මාණයක්.,ක්‍රිෂ්ටි ෂෙල්ටන් මහත්මයාග නිර්මාණයක්.,omission,asr_sinhala/data/18/18c9cc1d15.flac,dyslexic_audio_files/train_49.flac
එහේටම වෙලා ඉන්න බැරි වෙච්ච හැටි,එහේටම වලා ඉන්න බැරි වෙච්ච හැටි,omission,asr_sinhala/data/24/24bfd65747.flac,dyslexic_audio_files/train_50.flac
රටේ සංවර්ධනයට හා සමාජ සුභසාධනයේදී,රටේ සංවර්ධනයට හා මාජ සුභසාධනයේදී,omission,asr_sinhala/data/d7/d7b5b0aae4.flac,dyslexic_audio_files/train_51.flac
සාක්ෂාත් කිරීමෙන්,සාක්ෂාත් තිලීමෙන්,substitution,asr_sinhala/data/39/3971c66ae5.flac,dyslexic_audio_files/train_52.flac
උද්‍යාන සංකීර්ණයකි,උද්‍යාන ංකීර්ණයකි,omission,asr_sinhala/data/31/3115090c2b.flac,dyslexic_audio_files/train_53.flac
එවැන්කුට ජාතික මට්ටමේ ගීතයක්,එවැන්කුට ජාතකි මට්ටමේ ගීතයක්,reversal,asr_sinhala/data/84/84dde1d657.flac,dyslexic_audio_files/train_54.flac
සැලසුම් සහගතව කරු,සැලසුම් හගතව කරු,omission,asr_sinhala/data/8e/8ede76ccd9.flac,dyslexic_audio_files/train_55.flac
එයා දකිනවා අනිත්‍ය වූ සමාධියක්,එයා දකිනවා අනිත්‍ය වූ මාධියක්,omission,asr_sinhala/data/bd/bd5a527998.flac,dyslexic_audio_files/train_56.flac
ඒක ලියන්න තමයි සිංදුවා අල්ලගත්තේ,ඒක ලියන්න තමයි ශිංදුවා අල්ලගත්තේ,substitution,asr_sinhala/data/6e/6eacc7091b.flac,dyslexic_audio_files/train_57.flac
අවදානයෙන් හිටියොත් හොදයි ඒකට.,අවදානයෙන් හිියොත් හොදයි ඒකට.,omission,asr_sinhala/data/b5/b55c56c226.flac,dyslexic_audio_files/train_58.flac
ශිෂ්‍ය ප්‍රජාව එකඟද?,ශිෂ්‍ය ඉප්‍රජාව එකඟද?,insertion,asr_sinhala/data/95/95a5b00dfe.flac,dyslexic_audio_files/train_59.flac
maya warunge lokaya,maya warnge lokaya,omission,asr_sinhala/data/5b/5bb010d84a.flac,dyslexic_audio_files/train_60.flac
ඒකනේ ගානක්වත් නැතුව,ඒකේ ගානක්වත් නැතුව,omission,asr_sinhala/data/2b/2b64a4cd0a.flac,dyslexic_audio_files/train_61.flac
සීතාවක රාජසිංහයන් එබඳු නිර්මාණයක් කළ බව,සීතාවක රාජසිංහය්න එබඳු නිර්මාණයක් කළ බව,reversal,asr_sinhala/data/3e/3ec8577071.flac,dyslexic_audio_files/train_62.flac
කම්පාවීම නොවැළැක්විය හැකිය.,කම්බාවීම නොවැළැත්විය හැකිය.,substitution,asr_sinhala/data/1c/1cce6e73b7.flac,dyslexic_audio_files/train_63.flac
ඊළඟ පරපුරට ගෙන යාමේ අදහස,ඊළඟ බලපුලට ගෙන යාමේ අදහස,substitution,asr_sinhala/data/37/37f539e5ad.flac,dyslexic_audio_files/train_64.flac
නමුත් උණ ගොබය,නමුත් උණ ගොය,omission,asr_sinhala/data/54/540d399784.flac,dyslexic_audio_files/train_65.flac
උපාදානස්කන්ධ ශක්ති විශේෂ,උාපදානස්කන්ධ ශක්ති විශේෂ,reversal,asr_sinhala/data/04/041591530b.flac,dyslexic_audio_files/train_66.flac
ශ්‍රද්ධාව ඇති කරගන්නේ කොහොමද?,ශ්‍රද්ධාව ඇති තරගන්නේ තොහොමද?,substitution,asr_sinhala/data/03/03b7fcfddf.flac,dyslexic_audio_files/train_67.flac
ලොකු පූජාවක් එහෙම තියනවා,ලොකු පූජාවක් හෙම තියනවා,omission,asr_sinhala/data/23/23b2aaa34d.flac,dyslexic_audio_files/train_68.flac
බලවත් බාධකයක් බව ද,බලවත් බාධකයත් බව ද,substitution,asr_sinhala/data/27/272688c7f6.flac,dyslexic_audio_files/train_69.flac
වෙද වෙබ් අඩවියක් සඳහා,වෙදව ෙබ් අඩවියක් සඳහා,reversal,asr_sinhala/data/1d/1de1f35f45.flac,dyslexic_audio_files/train_70.flac
රහසේ සඟවා තිබුණි,රහසේ ඟවා තිබුණි,omission,asr_sinhala/data/40/40472e14d7.flac,dyslexic_audio_files/train_71.flac
බාධා ඇති විය හැකි දවසකි.,බාධා ඇති විය ැකි දවසකි.,omission,asr_sinhala/data/63/6379400545.flac,dyslexic_audio_files/train_72.flac
ඉඩම් මංකොල්ල කන්න හදනවා කියලා,ඉඩම් මංකොල්ල කන්න හදනවාකියලා,omission,asr_sinhala/data/86/863f912f49.flac,dyslexic_audio_files/train_73.flac
ඒත් අයියා කියන නිසා,ඒත් අයියා ියන නිසා,omission,asr_sinhala/data/fb/fbbd4d3b06.flac,dyslexic_audio_files/train_74.flac
එයා ගොඩක් ආස චිත්‍රපටයක්,එයා ගොඩක් ආ චිත්‍රපටයක්,omission,asr_sinhala/data/43/437799e77d.flac,dyslexic_audio_files/train_75.flac
රතුවෙලා තිබුණා.,තරුවෙලා තිබුණා.,reversal,asr_sinhala/data/f1/f18bec414d.flac,dyslexic_audio_files/train_76.flac
මහාවංස පිටපත් කිහිපයක් සොයාගෙන,මහාවංස පිපත් කිහිපයක් සොයාගෙන,omission,asr_sinhala/data/e0/e00472505e.flac,dyslexic_audio_files/train_77.flac
බුදුන් වහන්සේ සොයාගත්තද,බුදන් වහන්සේ සොයාගත්තද,omission,asr_sinhala/data/7e/7edf92d6ac.flac,dyslexic_audio_files/train_78.flac
මොකද බං උඹ ලේක් හවුස් එකේ කඹුරන්නෙ?,මොකද බං උඹ ලේක් හවසු් එකේ කඹුරන්නෙ?,reversal,asr_sinhala/data/4d/4de8c14f69.flac,dyslexic_audio_files/train_79.flac
එතකොට මේ හිතේ තියෙන මේ බැඳීම මධ්‍යස්ථ වෙනවා,එතකොට මේ හිතේ තියෙනමේ බැඳීම මධ්‍යස්ථ වෙනවා,omission,asr_sinhala/data/06/06bc372b7e.flac,dyslexic_audio_files/train_80.flac
පෙනුමක් ගෙන ඇත.,පෙනුමක් දෙන ඇත.,substitution,asr_sinhala/data/8d/8df23960c0.flac,dyslexic_audio_files/train_81.flac
අපි දර්ශන තලයේදී කතා කළේ ඇස්වලින්.,අපි දර්ශන තයේදී කතා කළේ ඇස්වලින්.,omission,asr_sinhala/data/db/db12f8956e.flac,dyslexic_audio_files/train_82.flac
අවසාන එහි ඇත්තේ හිස් බවකි.,අවසාන එහි ඇත්තේ හිස් බවි.,omission,asr_sinhala/data/42/42b27a9142.flac,dyslexic_audio_files/train_83.flac
අපට දුකක් එන්නේ නෑ.,අබට දුකක් එන්නේ නෑ.,substitution,asr_sinhala/data/cb/cbcf21227f.flac,dyslexic_audio_files/train_84.flac
මෙරට බව ඔවුන් නොදනිති.,මෙටර බව ඔවුන් නොදනිති.,reversal,asr_sinhala/data/0f/0ff1dbadf9.flac,dyslexic_audio_files/train_85.flac
බුදු සසුනේ,බුුද සසුනේ,reversal,asr_sinhala/data/24/2477852af7.flac,dyslexic_audio_files/train_86.flac
දුවන්න ගිහින් මළාලු.,දුවන්න දිහින් මළාලු.,substitution,asr_sinhala/data/0b/0bd24136b8.flac,dyslexic_audio_files/train_87.flac
එය මට අදාල නොවන බව පමණයි,එය මට අදාල නොවන බ වපමණයි,reversal,asr_sinhala/data/47/472d4de300.flac,dyslexic_audio_files/train_88.flac
කොපමණ වටිනා මානව සම්පත් නැති වූයේද,තොබමණ වටිනා මානව සම්පත් නැති වූයේද,substitution,asr_sinhala/data/81/813570d993.flac,dyslexic_audio_files/train_89.flac
ඔන්න මම එලියේ දාගන යනවා!  කියලා.,ඔන්න මම එලියේ දාගන යනවා!  ිකයලා.,reversal,asr_sinhala/data/b2/b2639d3468.flac,dyslexic_audio_files/train_90.flac
ඔය කාරණය ගැන ලස්සනට කතා කරන බව කියන්නයි,ඔය කාලණය ගැන ලස්සනට කතා කරන බව කියන්නයි,substitution,asr_sinhala/data/7e/7e3721d6fa.flac,dyslexic_audio_files/train_91.flac
චිත්‍රකතා කලාවට පිවිසෙන්නේ,චිත්‍රකත ාකලාවට පිවිසෙන්නේ,reversal,asr_sinhala/data/0e/0e419cc6ae.flac,dyslexic_audio_files/train_92.flac
ඉන්දික ඇත්තටම මේ කියන්නෙ කාලකණ්නි සත්‍යයක්,ඉන්දික ඇත්තටම මේ කියන්නෙ කාකලණ්නි සත්‍යයක්,reversal,asr_sinhala/data/71/718060c38d.flac,dyslexic_audio_files/train_93.flac
යක්කු වගෙ මුං ටික කමෙන්ට් දාලනෙ,යක්කු වගෙ මුං ටිත කමෙන්ට් දාලනෙ,substitution,asr_sinhala/data/dd/ddb789dcbd.flac,dyslexic_audio_files/train_94.flac
උඹ පැත්තකට වෙලා හිටපන්,උඹ පැත්තකට වෙලා හිටබන්,substitution,asr_sinhala/data/0e/0ec5e4cb70.flac,dyslexic_audio_files/train_95.flac
තියෙන එකමුතුවත් නැතිවුණොත් ප්‍රශ්න මතුවෙනවා.,තියෙන එකමුතුවත් නැතිවුණෝ ප්‍රශ්න මතුවෙනවා.,omission,asr_sinhala/data/e9/e9672f0f36.flac,dyslexic_audio_files/train_96.flac
කළ ගුණ සැලකීමයි.,කළ ගුණ ැලකීමයි.,omission,asr_sinhala/data/ec/ec05cb04a2.flac,dyslexic_audio_files/train_97.flac
ගුරා අයියේ,ගුරා යියේ,omission,asr_sinhala/data/a7/a710b366e9.flac,dyslexic_audio_files/train_98.flac
අනුර ශ්‍රීනාත් චිත්‍ර ශිල්පියාද,අනර ශ්‍රීනාත් චිත්‍ර ශිල්පියාද,omission,asr_sinhala/data/71/71fefceff8.flac,dyslexic_audio_files/train_99.flac
ජාතික ලැයිස්තුවෙන් එන්න කියලා කියද්දි,ජාතික ලැයිස්තුවෙන් එන්න තියලා කියද්දි,substitution,asr_sinhala/data/6b/6bfa08d7b5.flac,dyslexic_audio_files/train_100.flac
ඉන්දියන් විදේශ ඇමති ලංකාවට,නඉ්දියන් විදේශ ඇමති ලංකාවට,reversal,asr_sinhala/data/33/3318b242c4.flac,dyslexic_audio_files/train_101.flac
එහි නියැලෙන චරිත,එහි නියලැෙන චරිත,reversal,asr_sinhala/data/7c/7ca5e4af70.flac,dyslexic_audio_files/train_102.flac
කරගෙන යන්න කියලයි.,කරගෙන යන්න කියයලි.,reversal,asr_sinhala/data/86/86c10d877c.flac,dyslexic_audio_files/train_103.flac
නිවන එපා යන මතයක් පැතිරවීමයි,නිවන එපා යන මතයක් පැතරවීමයි,omission,asr_sinhala/data/8e/8ecd0e73fb.flac,dyslexic_audio_files/train_104.flac
විරුද්ධ බව පෙනේ.,වරුද්ධ බව පෙනේ.,omission,asr_sinhala/data/89/8993d5f9d8.flac,dyslexic_audio_files/train_105.flac
මේ කිසි අවුලක් නැතිව,මේ කිශි අවුලත් නැතිව,substitution,asr_sinhala/data/25/25dd4e388a.flac,dyslexic_audio_files/train_106.flac
"දරුවාට රිදුනත්,","දරුාට රිදුනත්,",omission,asr_sinhala/data/f9/f922555c56.flac,dyslexic_audio_files/train_107.flac
මට ඇති වැඩේ මොකක්‌ද?,මට ඇති වැඩේ මොතක්‌ද?,substitution,asr_sinhala/data/09/0982d37ded.flac,dyslexic_audio_files/train_108.flac
සැමියාගේ චර්යාවන් වුවද,සැමියාගේ ර්යාවන් වුවද,omission,asr_sinhala/data/ed/ed59ce15c1.flac,dyslexic_audio_files/train_109.flac
සිංහල උප සිරැසි එක්ක,ශිංහල උප ශිරැශි එත්ක,substitution,asr_sinhala/data/5c/5c9eabf7d1.flac,dyslexic_audio_files/train_110.flac
බොහෝ දිනවල කුසට අහරක් නැතිව,බොහෝ දිවනල කුසට අහරක් නැතිව,reversal,asr_sinhala/data/99/991a406fa7.flac,dyslexic_audio_files/train_111.flac
එතකොට අනිත් දොස්තරලා බෙහෙත් දෙන්නේ නිකන්ද?,එතකොට අනිත් දොඉස්තරලා බෙහෙත් දෙන්නේ නිකන්ද?,insertion,asr_sinhala/data/fb/fb8837f05f.flac,dyslexic_audio_files/train_112.flac
වුනත් මවන්න පුළුවන්,වුනත් මවන්න බුළුවන්,substitution,asr_sinhala/data/7d/7de2e0c468.flac,dyslexic_audio_files/train_113.flac
අපිට උතුරු නැගෙනහිර යන්න සමහරවිට,අපිට උතුරු නගෙනහිර යන්න සමහරවිට,omission,asr_sinhala/data/8f/8f4703b117.flac,dyslexic_audio_files/train_114.flac
දේශීය වෛද්‍ය අමාත්‍යාංශය සඳහා,දේශීය වෛද්‍ය අමාත්‍යාශය සඳහා,omission,asr_sinhala/data/cf/cfec33ee47.flac,dyslexic_audio_files/train_115.flac
අනික තමයි ඉතින් ඉස්සර,අනි කතමයි ඉතින් ඉස්සර,reversal,asr_sinhala/data/3d/3df7209daf.flac,dyslexic_audio_files/train_116.flac
ඔබ දක්ෂම නිලියක් කියන එක,ඔබ දක්ෂම නිලියක් කියන එත,substitution,asr_sinhala/data/65/659dfa2b85.flac,dyslexic_audio_files/train_117.flac
විදෙස් රට වල ලාංකීය ලකුණ පෙරදැරි කරගෙන,විදෙඉස් රට වල ලාංකීය ලකුණ පෙරදැරි කරගෙන,insertion,asr_sinhala/data/b8/b87baf3bca.flac,dyslexic_audio_files/train_118.flac
රජ අණ පරිදි,රජ අණ රපිදි,reversal,asr_sinhala/data/6e/6e70ca7574.flac,dyslexic_audio_files/train_119.flac
ඔහුගේ පැවැත්ම පිළිබඳ පංචස්කන්ධයට,ඔුගේ පැවැත්ම පිළිබඳ පංචස්කන්ධයට,omission,asr_sinhala/data/a3/a30d741285.flac,dyslexic_audio_files/train_120.flac
ලුහුබැඳිමට තීරණය කරනවා.,ලුහුබැඳිමට තීණය කරනවා.,omission,asr_sinhala/data/40/40e07b6489.flac,dyslexic_audio_files/train_121.flac
කාවන්තිස්ස රජතුමා විසිනි.,කාවන්තිඉස්ස රජතුමා විසිනි.,insertion,asr_sinhala/data/e3/e33b990849.flac,dyslexic_audio_files/train_122.flac
අර කන්දක් විලිලා මී කුණක් වැදුවා වගේ,අ කන්දක් විලිලා මී කුණක් වැදුවා වගේ,omission,asr_sinhala/data/5b/5bcd14d330.flac,dyslexic_audio_files/train_123.flac
ඔබේ ගොඩනැගීම තුළ,ඔබේ ගොඩනැගීම තළ,omission,asr_sinhala/data/fe/fee62eafd7.flac,dyslexic_audio_files/train_124.flac
“රෝගීන් සුවපත් කිරීම”,“රෝගී් සුවපත් කිරීම”,omission,asr_sinhala/data/a0/a0bbb8a4b5.flac,dyslexic_audio_files/train_125.flac
තුන්වෙනි සීසන් එක අරන් ආවා.,තුන්වෙනි සීසන් එක අරන් වා.,omission,asr_sinhala/data/af/af04cce698.flac,dyslexic_audio_files/train_126.flac
නායකත්වයට තරඟ කළ කරු ජයසුරිය,නායකත්වයට තරඟ කළ කුර ජයසුරිය,reversal,asr_sinhala/data/d9/d9a7f2fb24.flac,dyslexic_audio_files/train_127.flac
තවත් මිනිසෙක් ජීවත් කර,තවත් මිනිසෙක්ජ ීවත් කර,reversal,asr_sinhala/data/9a/9ad5311c20.flac,dyslexic_audio_files/train_128.flac
මාහිමියන් අතින් සිදුවූ,මාහිමියන් අතින් සිදුූ,omission,asr_sinhala/data/20/2064bbf8b9.flac,dyslexic_audio_files/train_129.flac
හිමි කර ගත හැකි බවත්,හිමි තර ගත හැකි බවත්,substitution,asr_sinhala/data/52/5221316859.flac,dyslexic_audio_files/train_130.flac
අයවැය ඉදිරිපත් කරන අවස්ථාව සඳහා,අයවැය ඉදිරිපත් කරන අවඉස්ථාව සඳහා,insertion,asr_sinhala/data/3d/3dc8775068.flac,dyslexic_audio_files/train_131.flac
ආලෝකමත් කිරීම සිදුකළේ නිර්ලෝභීවමයි.,ආෝලකමත් කිරීම සිදුකළේ නිර්ලෝභීවමයි.,reversal,asr_sinhala/data/34/348dc788e6.flac,dyslexic_audio_files/train_132.flac
ඇයගෙන් අයැද්දත් ඇය පලා නොයනු ඇත.,ඇයගෙන්අයැද්දත් ඇය පලා නොයනු ඇත.,omission,asr_sinhala/data/1e/1ebdb58ad8.flac,dyslexic_audio_files/train_133.flac
සාමාවතී බිසව ඇතුළු පිරිස,සාමවාතී බිසව ඇතුළු පිරිස,reversal,asr_sinhala/data/7b/7bce072d4a.flac,dyslexic_audio_files/train_134.flac
පුදුමයක් නොවේ,පුදුමයක් ොවේ,omission,asr_sinhala/data/1c/1c8a8295e0.flac,dyslexic_audio_files/train_135.flac
භික්‍ෂූන් අතර අග තනතුර ලබා ගන්නට,භික්‍ෂූන් අතර අගත නතුර ලබා ගන්නට,reversal,asr_sinhala/data/a2/a2cfbef795.flac,dyslexic_audio_files/train_136.flac
ඔහු නිහතමානීත්වයෙන් පුරවා ගත්තේ ය,ඔහු නිතහමානීත්වයෙන් පුරවා ගත්තේ ය,reversal,asr_sinhala/data/2e/2eb97357e4.flac,dyslexic_audio_files/train_137.flac
අපිට අපේ පාඩුවෙ ඉන්න දුන්නනම්,අපිට අපේ පඩාුවෙ ඉන්න දුන්නනම්,reversal,asr_sinhala/data/43/4354898c0a.flac,dyslexic_audio_files/train_138.flac
මම හරිම ආසම එකක්.,මමහරිම ආසම එකක්.,omission,asr_sinhala/data/eb/ebe6b117f9.flac,dyslexic_audio_files/train_139.flac
